Protein IDs	Protein Names	Gene Names	Protein Descriptions	Uniprot IDs	RefSeq protein IDs	Refseq mRNA ID	ENSEMBL ID	MGI ID	Protein length [amino acids]	Protein molecular weight [kDa]	Protein copy number experiment [molecules/cell]	Protein copy number replicate [molecules/cell]	Protein copy number average [molecules/cell]	mRNA copy number experiment [molecules/cell]	mRNA copy number replicate [molecules/cell]	mRNA copy number average [molecules/cell]	Protein half-life experiment [h]	Protein half-life replicate [h]	Protein half-life average [h]	mRNA half-life experiment [h]	mRNA half-life replicate [h]	mRNA half-life average [h]	transcription rate (vsr) experiment [molecules/(cell*h)]	transcription rate (vsr) replicate [molecules/(cell*h)]	transcription rate (vsr) average [molecules/(cell*h)]	translation rate constant (ksp) experiment [molecules/(mRNA*h)]	translation rate constant (ksp) replicate [molecules/(mRNA*h)]	translation rate constant (ksp) average [molecules/(mRNA*h)]
"IPI00468203.3;IPI00605518.1;IPI00885292.1;IPI00885367.1"	"Annexin A2;Annexin-2;Annexin II;Lipocortin II;Calpactin I heavy chain;Chromobindin-8;p36;Protein I;Placental anticoagulant protein IV"	"Anxa2;Anx2;Cal1h;CT009708.1-003;CT009708.1-004"	"Annexin A2;similar to Annexin A2;Annexin A2;Annexin A2"	"P07356;Q3UCD3;Q542G9;Q99KH3;Q9CZI7;B0V2N7;B0V2N8"	"NP_031611;XP_001474833"	NM_007585	ENSMUST00000034756	MGI:88246	339	38,68	3593319,08	4038033,27	3809191,78	626,16	635,25	630,69	159,14	340,02	232,62	13,89	16,41	15,1	45,38	39,37	42,27	168,79	152,09	160,22
"IPI00849530.1;IPI00848801.1;IPI00850432.1"			"similar to Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) isoform 1;similar to Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) isoform 1;similar to Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) isoform 3"		"XP_001472565;XP_001472584;XP_001481063;XP_001481064;XP_001481068;XP_001472609"				333	35,81	3543847,17	5284817,33	4327653,52	NA	NA	NA	176,15	709,59	353,55	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00131459.1;IPI00649586.1;IPI00551485.1;IPI00854035.1"	"Nucleoside diphosphate kinase A;Tumor metastatic process-associated protein;Metastasis inhibition factor NM23;NDPK-A;nm23-M1;Nucleoside diphosphate kinase;Expressed in non-metastatic cells 1 protein"	"Nme1;Nm23;RP23-378I13.1-002;RP23-378I13.1-003"	"Nucleoside diphosphate kinase A;Nucleoside diphosphate kinase;Expressed in non-metastatic cells 1 protein"	"P15532;Q5NC81;Q5NC80;Q5NC79"	"NP_032730;XP_001476969"	NM_008704	"ENSMUST00000021220;ENSMUST00000107844"	"MGI:97355;MGI:97355;MGI:97355"	152	17,21	3335055,94	2291232,28	2764306,03	177,38	119,93	145,85	124,31	242,75	173,71	13,7	14,91	14,29	12,97	7,93	10,14	575,79	472,43	521,56
"IPI00890117.1;IPI00848816.1;IPI00407543.2;IPI00409405.2"	"Cofilin-1;Cofilin, non-muscle isoform;Putative uncharacterized protein"	Cfl1	"Cofilin-1;similar to Cofilin-1;Putative uncharacterized protein;similar to Cofilin-1 (Cofilin, non-muscle isoform) isoform 1"	"P18760;Q544Y7;Q9CX22"	"NP_031713;XP_001480334;XP_890553"	NM_007687	"ENSMUST00000070195;ENSMUST00000116560"	"MGI:101757;MGI:101757"	166	18,56	3318290,97	3230026,18	3273861,13	854,44	623,38	729,82	59,32	76,36	67,3	13,82	14,99	14,39	62,14	41,07	50,51	142,52	160,17	151,09
"IPI00323357.3;IPI00886297.1;IPI00457741.4;IPI00886370.1;IPI00885277.1;IPI00668185.1;IPI00930873.1"	"Heat shock cognate 71 kDa protein;Heat shock 70 kDa protein 8;Putative uncharacterized protein"	"Hspa8;Hsc70;Hsc73"	"Heat shock cognate 71 kDa protein;Hspa8 protein;71 kDa protein"	"P63017;Q3KQJ4;Q3TB63;Q3TEK2;Q3TF16;Q3TH04;Q3TH56;Q3TQ13;Q3TRH3;Q3TZJ3;Q3U9L2;Q3UBA6;Q3UDS0;Q3ULM1;Q3UBR0;Q3UXU1;Q504P4;Q9QZ38"	NP_112442	NM_031165	"ENSMUST00000015800;ENSMUST00000117557"	"MGI:105384;MGI:105384"	646	70,87	3124087,43	3844119,2	3465453	NA	NA	NA	74,06	78,53	76,26	8,19	13,16	10,38	27,03	NA	27,03	NA	607,37	607,37
"IPI00224740.6;IPI00650039.1"	"Profilin-1;Profilin I;Profilin"	"Pfn1;DN-183N8.15-002;RP23-326P7.1-002"	"Profilin-1;Profilin"	"P62962;Q3U7V7;Q5SX50;Q8CEH8;Q5SX49"	NP_035202	NM_011072	"ENSMUST00000018437;ENSMUST00000108549"	"MGI:97549;MGI:97549"	140	14,96	3105535,36	3327939,63	3214814,8	880,15	544,47	692,25	88,89	150,66	115,73	15,48	16,62	16,04	59,42	33,47	44,6	115,9	161,83	136,95
IPI00117352.1	Tubulin beta-5 chain	Tubb5	Tubulin beta-5 chain	"P99024;Q80ZV2"	NP_035785	NM_011655	ENSMUST00000001566	MGI:107812	444	49,67	3058065,57	5995577,8	4281923,64	501,72	312,38	395,89	105,94	175,45	136,33	15,34	12,29	13,73	34,06	23,67	28,39	192,6	495,02	308,77
"IPI00462072.3;IPI00648821.1;IPI00473227.1;IPI00849751.1;IPI00889980.1;IPI00649376.1"	"Alpha-enolase;2-phospho-D-glycerate hydro-lyase;Non-neural enolase;Enolase 1;Enolase"	"Eno1;Eno-1;RP23-278I3.3-002"	"Alpha-enolase;Enolase"	"P17182;Q5FW97;Q6PHC1"	"NP_001020559;NP_075608;XP_001471566"	NM_001025388	"ENSMUST00000076155;ENSMUST00000080926;ENSMUST00000081067;ENSMUST00000080149"	"MGI:95393;MGI:95393"	434	47,14	2907872,67	4627474,79	3668256,73	NA	NA	NA	127,07	363,1	214,8	19,99	8,17	12,78	11,64	NA	11,64	NA	376,49	376,49
"IPI00553777.2;IPI00889986.1;IPI00620806.3;IPI00469298.7"	"Heterogeneous nuclear ribonucleoprotein A1;hnRNP core protein A1;Helix-destabilizing protein;HDP-1;Single-strand-binding protein;Topoisomerase-inhibitor suppressed"	"Hnrnpa1;Fli-2;Hnrpa1;Tis"	Putative uncharacterized protein	"P49312-2;P49312;P70370;Q3UK83;Q5EBP8"	NP_001034218	NM_001039129	"ENSMUST00000036004;ENSMUST00000087351"	MGI:104820	373	38,8	2790566,42	2746358,35	2768374,14	NA	NA	NA	153,07	175,31	163,81	5,65	14,94	9,18	NA	NA	NA	NA	NA	NA
IPI00555113.2	60S ribosomal protein L18	Rpl18	60S ribosomal protein L18	"P35980;Q0QEW9;Q58EW0;Q642K1"	NP_033103	NM_009077	"ENSMUST00000072503;ENSMUST00000075178"	MGI:98003	188	21,64	2730398,95	2060526,31	2371931,47	530,68	315,06	408,9	105,2	139,68	121,22	18,34	17,94	18,14	32,23	18,43	24,37	162,92	175,56	169,12
"IPI00322562.5;IPI00663582.1;IPI00895514.1;IPI00895455.1"	40S ribosomal protein S14	Rps14	"40S ribosomal protein S14;similar to 40S ribosomal protein S14;15 kDa protein;13 kDa protein"	"P62264;O70569;Q3UJS5"	"NP_065625;XP_001474230;XP_913463"	NM_020600	"ENSMUST00000025511;ENSMUST00000118551;ENSMUST00000122279"	MGI:98107	151	16,27	2670942,82	1337673,9	1890198,53	366,14	319,01	341,76	152,78	353,83	232,5	19,5	12,37	15,53	21,44	24,05	22,71	216,14	99,86	146,91
"IPI00554989.3;IPI00755515.1;IPI00874996.1"	"Peptidyl-prolyl cis-trans isomerase A;Cyclophilin A;Cyclosporin A-binding protein;SP18"	Ppia	"Peptidyl-prolyl cis-trans isomerase;16 kDa protein"	"P17742;Q3TE63;Q3UAJ1;Q5SVY2;Q9CZK9"	NP_032933		"ENSMUST00000071781;ENSMUST00000090749"	MGI:97749	167	18,31	2581353,01	3073962,87	2816910,24	NA	NA	NA	91,96	243,78	149,73	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00225634.6;IPI00554850.2;IPI00473415.1;IPI00120475.1;IPI00116908.1"	40S ribosomal protein S12	"Rps12;mCG_132913;mCG_6749"	"ribosomal protein S12;40S ribosomal protein S12;similar to 40S ribosomal protein S12;hypothetical protein;similar to 40S ribosomal protein S12"	"Q6ZWZ6;P63323"	"NP_035425;XP_001478109;XP_001480687;XP_001479102;XP_484385;XP_917125"		"ENSMUST00000073926;ENSMUST00000080355;ENSMUST00000086764;ENSMUST00000093054"	"MGI:98105;MGI:98105"	132	14,52	2533855,38	1461307,55	1924251,02	NA	NA	NA	148,16	187,91	166,86	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00407130.4	"Pyruvate kinase isozymes M1/M2;Pyruvate kinase muscle isozyme"	"Pkm2;Pk3;Pykm"	Isoform M2 of Pyruvate kinase isozymes M1/M2	"P52480-1;P52480"	NP_035229	NM_011099	ENSMUST00000034834	MGI:97591	531	57,84	2530074,59	3061763,91	2783251,89	1140,45	1041,71	1089,96	107,34	174,05	136,68	18,96	23,27	21	67,91	52	59,42	69,97	76,1	72,97
"IPI00555055.3;IPI00919098.1;IPI00331734.5;IPI00320149.2;IPI00918450.1;IPI00651852.1"	"Histone H2A.V;H2A.F/Z;Histone H2A.Z;Histone H2A"	"H2afv;H2av;H2afz;H2az;RP23-74L9.1-002;mCG_121516"	"14 kDa protein;Histone H2A.V;Histone H2A.Z;Histone H2A;Histone H2A;Histone H2A"	"Q3THW5;B2RVP5;P0C0S6;Q5NC91;Q8R029;Q3UA95"	"NP_084214;NP_058030;XP_001000460;XP_001480434"	NM_029938	"ENSMUST00000060240;ENSMUST00000109737;ENSMUST00000041045;ENSMUST00000093346;ENSMUST00000109739"	"MGI:1924855;MGI:1888388;MGI:1924855;MGI:1924855;MGI:1888388"	129	13,61	2527703,23	1338046,63	1839071,72	12,25	9,77	10,94	76,99	205,8	125,88	16,29	24,48	19,97	0,8	0,47	0,62	7028,7	3463,1	4933,67
"IPI00108125.4;IPI00648714.1;IPI00850758.1;IPI00848526.1"	"Eukaryotic translation initiation factor 5A-1;Eukaryotic initiation factor 5A isoform 1;eIF-4D"	Eif5a	"Eukaryotic translation initiation factor 5A-1;16 kDa protein;similar to initiation factor 4D;similar to initiation factor 4D"	P63242	"NP_001160061;NP_001160062;NP_001160063;NP_001160064;NP_001160065;NP_001160066;NP_001160067;NP_001160068;NP_853613;XP_001472697;XP_984172"	NM_001166589	"ENSMUST00000043419;ENSMUST00000070996;ENSMUST00000071026;ENSMUST00000108607;ENSMUST00000108608;ENSMUST00000108609;ENSMUST00000108610;ENSMUST00000108611;ENSMUST00000108612;ENSMUST00000108613"	MGI:106248	154	16,83	2463014,12	2481202,1	2472091,38	532,98	358,83	437,32	45,04	56,26	50,34	13,89	11,48	12,63	38,63	28,57	33,22	186,61	235,68	209,71
"IPI00110753.1;IPI00466390.1;IPI00473667.1"	"Tubulin alpha-1A chain;Tubulin alpha-1 chain;Alpha-tubulin 1;Alpha-tubulin isotype M-alpha-1;Tubulin alpha-3 chain;Tubulin alpha-3/alpha-7 chain;Alpha-tubulin 3/7;Alpha-tubulin isotype M-alpha-3/7;Putative uncharacterized protein"	"Tuba1a;Tuba1;Tuba3a;Tuba3;Tuba3b;Tuba7"	"Tubulin alpha-1A chain;Tubulin alpha-3 chain;Putative uncharacterized protein"	"P68369;P05214;Q5FW91;Q9D9Y2"	"NP_035783;NP_033472;NP_033475"	NM_011653	"ENSMUST00000097014;ENSMUST00000087445;ENSMUST00000088246"	"MGI:98869;MGI:1095406;MGI:1095408;MGI:1095408"	451	50,13	2432286,55	5301674,68	3590987,61	NA	NA	NA	111,18	103,65	107,35	13,03	8,14	10,3	NA	NA	NA	NA	NA	NA
"IPI00134621.3;IPI00126133.1"	"GTP-binding nuclear protein Ran;GTPase Ran;Ras-related nuclear protein;Ras-like protein TC4"	"Ran;Rasl2-8"	GTP-binding nuclear protein Ran	"P62827;Q3ULW0"	"NP_033417;XP_001475472"	NM_009391	"ENSMUST00000031383;ENSMUST00000111343"	MGI:1333112	216	24,42	2426207,49	2097693,37	2255978,58	215,59	127,73	165,94	77,34	106,26	90,65	16,24	15,57	15,9	14,12	8,2	10,76	382,79	466,06	422,38
"IPI00116498.1;IPI00853851.1;IPI00473203.1;IPI00776377.1;IPI00775847.1"	"14-3-3 protein zeta/delta;Protein kinase C inhibitor protein 1;SEZ-2"	Ywhaz	"14-3-3 protein zeta/delta;similar to 14-3-3 zeta"	"P63101;Q3UA58"	"NP_035870;XP_001477753"	NM_011740	"ENSMUST00000022894;ENSMUST00000110361;ENSMUST00000110362"	MGI:109484	245	27,77	2285162,49	2761366,38	2512005,35	75,92	68,56	72,15	100,03	125,15	111,89	14,64	8,43	11,11	5,31	6,92	6,06	962,57	1099,2	1028,62
"IPI00323819.3;IPI00122010.1"	40S ribosomal protein S20	Rps20	40S ribosomal protein S20	"P60867;Q5BLK2"	NP_080423	NM_026147	ENSMUST00000103009	MGI:1914677	119	13,37	2254783,24	1199674,93	1644690,52	384,72	516,89	445,93	152,91	225,93	185,87	14,25	8,47	10,99	27,41	51,97	37,74	173,43	57,67	100,01
"IPI00137735.1;IPI00848593.1;IPI00115992.1;IPI00850188.1;IPI00677917.1;IPI00605858.2;IPI00461419.2;IPI00755670.2;IPI00661810.3"	40S ribosomal protein S25	Rps25	"40S ribosomal protein S25;similar to hCG1640785;similar to ribosomal protein S25;similar to ribosomal protein S25 isoform 1;similar to hCG1640785;similar to MGC82151 protein;similar to hCG1640785"	"P62852;Q58EA6"	"NP_077228;XP_001474736;XP_144599;XP_001472982;XP_001473001;XP_001473250;XP_001473274;XP_001473287;XP_991849;XP_622656;XP_919177;XP_899588"	NM_024266	ENSMUST00000080300	MGI:1922867	125	13,74	2197752,5	1575631,33	1860872,83	7,5	17,13	11,34	126,47	154,78	139,91	2,97	3,29	3,13	1,9	3,9	2,72	8816,7	2388	4588,49
"IPI00229080.7;IPI00830562.2;"	"Heat shock protein 84b;Heat shock protein 90 alpha (Cytosolic), class B member 1;Putative uncharacterized protein;MCG18238"	"Hsp90ab1;Hsp84b;Hspcb;mCG_18238"	MCG18238	"Q71LX8;Q80YC2;Q811H6"	NP_032328	NM_008302	ENSMUST00000024739	MGI:96247	724	83,28	2180936,06	3195443,3	2639897,25	938,35	860,5	898,58	67,39	88,89	77,4	14,76	24,69	19,09	65,33	41,53	52,09	82,08	110,27	95,14
"IPI00136984.1;IPI00666161.1;IPI00850934.1;IPI00850039.1;IPI00349458.5;IPI00344904.5"	40S ribosomal protein S7	Rps7	"40S ribosomal protein S7;similar to ribosomal protein S7 isoform 1;similar to ribosomal protein S7"	"P62082;Q4FZE6"	"NP_035430;XP_894928;XP_913770;XP_001478257"	NM_011300	ENSMUST00000074267	MGI:1333818	194	22,13	2172752,16	1775585,72	1964155,72	64,56	73,31	68,8	139,96	152,72	146,2	17,87	13,79	15,69	3,98	5,12	4,51	1010,7	639,18	803,75
"IPI00118384.1;IPI00885651.1;IPI00828266.2"	"14-3-3 protein epsilon;Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide"	"Ywhae;RP23-78H4.1-005"	"14-3-3 protein epsilon;15 kDa protein;Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide"	"P62259;Q3V453;Q5SS40;Q8BPH1;A2ACM8"	NP_033562	NM_009536	"ENSMUST00000067664;ENSMUST00000108422"	"MGI:894689;MGI:894689"	255	29,17	2164926,02	2632983,08	2387512,01	282,45	218,8	248,6	93,74	220,31	143,71	15,31	20,59	17,75	19,21	11,74	15,02	248,7	301,43	273,8
"IPI00224505.7;IPI00134097.1;IPI00653474.1;IPI00890196.1"	"60S ribosomal protein L13;A52"	Rpl13	"60S ribosomal protein L13;hypothetical protein;60S ribosomal protein L13;22 kDa protein"	"P47963;Q5RKP3"	"NP_058018;XP_001473225;XP_001473412;XP_001475146;XP_985187;XP_999884"	NM_016738	"ENSMUST00000000756;ENSMUST00000079761"	"MGI:105922;MGI:105922"	211	24,3	2098623,07	1285474,16	1642475,49	NA	NA	NA	147,91	202,93	173,25	16,13	2,47	6,32	NA	NA	NA	NA	NA	NA
"IPI00123604.4;IPI00622968.1;IPI00659629.1;IPI00606764.1"	"40S ribosomal protein SA;Laminin receptor 1;37/67 kDa laminin receptor;Laminin-binding protein precursor p40;37 kDa laminin receptor precursor;67 kDa laminin receptor;37 kDa oncofetal antigen;OFA/iLRP"	"Rpsa;Lamr1;P40-8"	"40S ribosomal protein SA;hypothetical protein;hypothetical protein isoform 1"	"P14206;B2CY77"	"NP_035159;XP_001473955;XP_001475568;XP_001480243;XP_921694"	NM_011029	ENSMUST00000035105	MGI:105381	295	32,84	2089572,51	3249994,84	2605973,89	NA	NA	NA	187,83	291,55	234,01	19,93	6,65	11,52	NA	NA	NA	NA	NA	NA
"IPI00330363.8;IPI00622160.3;IPI00462453.4;IPI00354363.3;IPI00265107.4;IPI00462006.3;IPI00278580.6;IPI00461356.1;IPI00875556.1;IPI00661216.1;IPI00849084.1"	"60S ribosomal protein L7a;Surfeit locus protein 3"	"Rpl7a;Surf-3;Surf3"	"60S ribosomal protein L7a;hypothetical protein;hypothetical protein;hypothetical protein isoform 1;hypothetical protein isoform 2;hypothetical protein;hypothetical protein"	"P12970;Q58ET1;Q5EBG5;Q6P1A9;Q80UT7"	"NP_038749;XP_990387;XP_001480775;XP_486245;XP_001473483;XP_001473506;XP_001473524;XP_001474976;XP_892272;XP_911331;XP_903693;XP_926227;XP_001481210;XP_982574;XP_146939;XP_984805"	NM_013721	"ENSMUST00000085282;ENSMUST00000102898"	MGI:1353472	266	29,98	2081210,56	1499554,4	1766603,65	NA	NA	NA	103,36	156,75	127,29	12,76	7,2	9,58	50,76	NA	50,76	NA	65,62	65,62
"IPI00474637.4;IPI00849598.1;IPI00775915.1;IPI00915054.1;IPI00112024.2"	"60S ribosomal protein L10;Protein QM homolog;Putative uncharacterized protein"	"Rpl10;Qm"	"60S ribosomal protein L10;similar to QM protein;23 kDa protein;Putative uncharacterized protein;similar to QM protein"	"Q6ZWV3;Q3THJ6"	"NP_443067;XP_001479819;XP_001479953;XP_001480054;XP_001480060;XP_001477392;XP_001477595;XP_134291;XP_919133"		"ENSMUST00000008826;ENSMUST00000074085"	"MGI:105943;MGI:105943"	214	24,6	2075915,14	1215920,57	1588756,72	NA	NA	NA	28,8	33,28	30,96	NA	NA	NA	NA	NA	NA	NA	NA	NA
